Description                                                                                                                                                                                                      ,Price       ,Rating             ,Review Count             ,URL
"Motorola Edge 40 Neo (Soothing Sea, 128 GB) (8 GB RAM)"                                                                                                                                                         ,"₹23,782"   ,3.9 out of 5 stars ,58                       ,https://www.amazon.in/Motorola-Edge-Neo-Soothing-Sea/dp/B0CK63FY9S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-1
"Motorola Edge 40 Neo (Black Beauty, 128 GB) (8 GB RAM)"                                                                                                                                                         ,"₹23,789"   ,3.9 out of 5 stars ,38                       ,https://www.amazon.in/Motorola-Edge-Neo-Black-Beauty/dp/B0CK62FT32/ref=sr_1_2?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-2
"Moto Edge 30 Fusion Magenta, 128 GB ROM 8 GB RAM"                                                                                                                                                               ,"₹40,999"   ,                   ,M.R.P:                   ,https://www.amazon.in/Moto-Edge-Fusion-Magenta-128/dp/B0D3YPS923/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-3
"Motorola Edge 40 Neo (Caneel Bay, 128 GB) (8 GB RAM)"                                                                                                                                                           ,"₹22,889"   ,3.9 out of 5 stars ,51                       ,https://www.amazon.in/Motorola-Edge-Neo-Caneel-Bay/dp/B0CK5XRQT3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-4
"Motorola Edge 30 Fusion (8GB, 128GB) (Solar Gold)"                                                                                                                                                              ,"₹30,990"   ,3.0 out of 5 stars ,2                        ,https://www.amazon.in/Motorola-Edge-Fusion-128GB-Solar/dp/B0BNL8CKC8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-5
"Motorola G84 5G (Viva Magenta, 12GB RAM, 256GB Storage) | 50MP (OIS) | 16MP Front Camera | Snapdragon 695 Processor | Ultra Premium Vegan Leather Design | Unbelievable 5G Speeds with 14 5G Bands"             ,            ,3.9 out of 5 stars ,103                      ,https://www.amazon.in/Motorola-12GB-256GB-Storage-Magenta/dp/B0CJYDKYRR/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-6
"Motorola G64 5G (Mint Green, 12GB RAM, 256GB Storage)"                                                                                                                                                          ,"₹17,999"   ,                   ,M.R.P:                   ,https://www.amazon.in/Motorola-Mint-Green-256GB-Storage/dp/B0D3BHRBZ3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-7
"Motorola Edge 40 Neo 5G (Peach Fuzz, 12GB RAM, 256GB Storage)"                                                                                                                                                  ,"₹25,929"   ,2.5 out of 5 stars ,5                        ,https://www.amazon.in/Motorola-Edge-Peach-256GB-Storage/dp/B0CTH8CVXN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-8
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)"                                                                                                                                                      ,"₹18,999"   ,4.2 out of 5 stars ,"55,832"                 ,https://www.amazon.in/OnePlus-Nord-Surge-128GB-Storage/dp/B0C9QS5G2R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-9
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage)"                                                                                                                                                      ,"₹24,999"   ,4.2 out of 5 stars ,881                      ,https://www.amazon.in/Oneplus-Celadon-Marble-128GB-Storage/dp/B0CX58MTNN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-10
