Description,Price,Rating,Rating Count,URL
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,"₹13,990",3.8,"1,210 Ratings ",https://www.flipkart.com//asus-chromebook-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1400cka-nk0453/p/itm3cc0cadd59faf?pid=COMGSHM3RGXQ6ZVX&lid=LSTCOMGSHM3RGXQ6ZVXMNXMLN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8Hgil9OUA5mvaE7xxgTPkoTFqnQa37pXv1u7WgH8EQJt5Gk4IsYyWu-Pj9cxFjFAoaLk%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0395 ...,"₹19,990",3.8,670 Ratings ,https://www.flipkart.com//asus-chromebook-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cx1500cka-nj0395/p/itmeefa0e7c92c5b?pid=COMGSHM3TFHNHXEU&lid=LSTCOMGSHM3TFHNHXEUDDCUKU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HghsXQ0lE1iJ7eUe_-9M4z5HTd3bok9XTa88S76unAf8vIQEIsITtCzc4bHaOMTqL08%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,"₹33,499",4.2,945 Ratings ,https://www.flipkart.com//dell-inspiron-3520-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm2d6ee1804748f?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JNT8WWSZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGJ75HJGFDJ6JN.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,"₹33,390",4.2,"1,498 Ratings ",https://www.flipkart.com//dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AE0PBADB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGJ75HCCFJS8AE.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,"₹65,990",4.3,81 Ratings ,https://www.flipkart.com//msi-gf63-intel-core-i5-12th-gen-12450h-16-gb-1-tb-hdd-256-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4060-144-hz-thin-12vf-268in-gaming-laptop/p/itm94409e5003359?pid=COMGZ5F34DHNDHHF&lid=LSTCOMGZ5F34DHNDHHFLMWZXW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGZ5F34DHNDHHF.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹33,990",4.2,834 Ratings ,https://www.flipkart.com//lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm07f540e13a0e8?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEFGHVHA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGP26H8PHCAMZE.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
HP AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,"₹33,490",4.2,"3,516 Ratings ",https://www.flipkart.com//hp-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm59e288d010cef?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESS83R2QP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGAX8EEYFKCESS.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Dual Core 10th Gen N4020 - (4 GB/128 GB SSD/Windows 11 Home) HeroBook Air Laptop,"₹11,990",3.5,103 Ratings ,https://www.flipkart.com//chuwi-intel-celeron-dual-core-10th-gen-n4020-4-gb-128-gb-ssd-windows-11-home-herobook-air-laptop/p/itmc48d96e4f2fce?pid=COMGQHR5CHKG6GWF&lid=LSTCOMGQHR5CHKG6GWFNSQQBE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HgjOI_9uQxyrJb4SC9Zkv7aEGM2fyhOvsAKHH_dfO2NDiA%3D%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin...,"₹37,990",4.3,"2,657 Ratings ",https://www.flipkart.com//asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGZKHQ8BXZFBUT.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
Lenovo V15 Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,"₹20,990",4,"2,552 Ratings ",https://www.flipkart.com//lenovo-v15-intel-celeron-dual-core-4th-gen-8-gb-256-gb-ssd-windows-11-home-82qya00min-laptop/p/itmdad173c69b235?pid=COMGZNMS5AHPF2GP&lid=LSTCOMGZNMS5AHPF2GPPMPOX7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGZNMS5AHPF2GP.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
