Description                                                                             ,Price     ,Rating ,Rating Count        ,URL
"Motorola G34 5G (Ocean Green, 128 GB)"                                                 ,"₹11,999" ,   4.2 ,"58,705 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4TZ2CJYHJ.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"Motorola G34 5G (Charcoal Black, 128 GB)"                                              ,"₹11,999" ,   4.2 ,"58,705 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4QPQMAA2S.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"Motorola G34 5G (Ice Blue, 128 GB)"                                                    ,"₹11,999" ,   4.2 ,"58,705 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4P2H9CY7Y.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Ink blue, 128 GB)"                                                 ,"₹8,999"  ,   4.2 ,"6,873 Ratings "    ,https://www.flipkart.com//motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4RNVPCG3M.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"Motorola Edge 40 Neo (Soothing Sea, 256 GB)"                                           ,"₹24,999" ,   4.3 ,"44,748 Ratings "   ,https://www.flipkart.com//motorola-edge-40-neo-soothing-sea-256-gb/p/itm5bd7da24f41ef?pid=MOBGQFX6H2H2UHFZ&lid=LSTMOBGQFX6H2H2UHFZTTEXAM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGQFX6H2H2UHFZ.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"REDMI 13C (Starshine Green, 128 GB)"                                                   ,"₹7,699"  ,   4.3 ,"14,704 Ratings "   ,https://www.flipkart.com//redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGW4HKUXHFDYU2.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"REDMI 13C (Stardust Black, 128 GB)"                                                    ,"₹7,699"  ,   4.3 ,"14,704 Ratings "   ,https://www.flipkart.com//redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGW4HKVU4ZGZFZ.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"REDMI 13C (Starfrost White, 128 GB)"                                                   ,"₹7,699"  ,   4.3 ,"14,704 Ratings "   ,https://www.flipkart.com//redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGWUHSZKWBZQWJ.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO M6 Pro 5G (Forest Green, 128 GB)"                                                 ,"₹9,999"  ,   4.3 ,"84,643 Ratings "   ,https://www.flipkart.com//poco-m6-pro-5g-forest-green-128-gb/p/itm151f47ed48eee?pid=MOBGRNZ3FZBVRYHQ&lid=LSTMOBGRNZ3FZBVRYHQLWWUJH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGRNZ3FZBVRYHQ.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)"                            ,"₹5,499"  ,   4   ,"2,16,182 Ratings " ,https://www.flipkart.com//poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBXUB4CQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGQTDPRFVZQYWB.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Glacier Blue, 128 GB)"                                             ,"₹8,999"  ,   4.2 ,"6,873 Ratings "    ,https://www.flipkart.com//motorola-g24-power-glacier-blue-128-gb/p/itm981de8de27246?pid=MOBGUFK4BDFF37GG&lid=LSTMOBGUFK4BDFF37GGSDO3HT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4BDFF37GG.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO M6 Pro 5G (Power Black, 128 GB)"                                                  ,"₹9,999"  ,   4.3 ,"84,643 Ratings "   ,https://www.flipkart.com//poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGRNZ3ER4N3K4F.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO C65 (Pastel Green, 128 GB)"                                                       ,"₹6,799"  ,   4.2 ,"16,073 Ratings "   ,https://www.flipkart.com//poco-c65-pastel-green-128-gb/p/itm534cf85baf789?pid=MOBGXTV9GCTRG3NV&lid=LSTMOBGXTV9GCTRG3NVGJTTCT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGXTV9GCTRG3NV.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Ink blue, 128 GB)"                                                 ,"₹7,999"  ,   4.2 ,"7,183 Ratings "    ,https://www.flipkart.com//motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4UBP7ZTXJ.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)"                                    ,"₹17,033" ,   4.4 ,"69,487 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNC9YZ6W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGZJ42KHUZZKMN.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)"                                       ,"₹18,786" ,   4.4 ,"69,487 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSPSGNOG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGZJ3ZFQ8AKKRS.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)"                                    ,"₹18,795" ,   4.4 ,"69,487 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BA8DGAMY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGZJ45PS4AQ7BA.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"MOTOROLA G04 (Satin Blue, 64 GB)"                                                      ,"₹6,999"  ,   4.2 ,"9,160 Ratings "    ,https://www.flipkart.com//motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4X5AEBBDE.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
