Description,Price,Rating,Review Count,URL
Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,"₹12,499",4.1 out of 5 stars,"3,046",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mjk0NTk5OTY0ODA2MTQ4OjE3MTY4OTU1MTU6c3BfYXRmOjMwMDAyODA1ODgzNTQzMjo6MDo6&url=%2FRedmi-Moonstone-Silver-6GB-128GB%2Fdp%2FB0C9J9CZR6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1716895515%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Redmi Note 13 Pro+ (Fusion Purple, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge","₹30,999",3.7 out of 5 stars,255,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mjk0NTk5OTY0ODA2MTQ4OjE3MTY4OTU1MTU6c3BfYXRmOjMwMDE1MjgxMjczODYzMjo6MDo6&url=%2FRedmi-Fusion-Storage-Mediatek-HyperCharge%2Fdp%2FB0CRQ8Q3QP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1716895515%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560K+ AnTuTu Score | 6000 mAh Battery with 7.99mm Slim Design | 44W FlashCharge","₹14,499",4.5 out of 5 stars,24,https://www.amazon.in/iQOO-Tornado-Storage-Snapdragon-FlashCharge/dp/B07WHQHNZC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-3
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","₹13,499",2.9 out of 5 stars,251,https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=sr_1_4?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-4
POCO C65 Pastel Green 4GB RAM 128GB ROM,"₹6,799",3.8 out of 5 stars,301,https://www.amazon.in/POCO-C65-Pastel-Green-128GB/dp/B0CY299SKS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-5
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","₹12,490",4.0 out of 5 stars,"23,153",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCR6TNK/ref=sr_1_6?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-6
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","₹8,499",4.0 out of 5 stars,480,https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTW9MVK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-7
"OnePlus 11R 5G (Sonic Black, 8GB RAM, 128GB Storage)","₹27,999",4.4 out of 5 stars,"14,710",https://www.amazon.in/OnePlus-Sonic-Black-128GB-Storage/dp/B0BSNP46QP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-8
"Samsung Galaxy M34 5G (Waterfall Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","₹12,999",4.0 out of 5 stars,"3,119",https://www.amazon.in/Samsung-Waterfall-sAMOLED-Display-Security/dp/B0C7C28GKF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-9
"Vivo T2x 5G (Marine Blue, 128 GB) (6 GB RAM)","₹12,999",4.3 out of 5 stars,691,https://www.amazon.in/Vivo-T2x-Marine-Blue-128/dp/B07WHQY9SB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.IEWjzBOs7otqKqGgR7pAQe82-a4haWN3jdS_4TgsteO2ktde2VhgrztVJ-hyQIifsrvbEcV51o4uLLfyjZH886di_W8G4ollo4MYCZhsIYN-mn1scbSfT4N9taMN2r2iqLwG3nhmeduiGrsx-xsK5rD2pJRjMmu3drELJShsJZC4LCY6u0DRX4J67sg2SWDUKlF2mb3dtgGOxxnIZ2V67v5iA6YMTFARGYGfjC4_q7c.1JCTp6_Y1Wr_L3-WbuSTo7mce4Cg1mR-so_TIUJ1UUE&dib_tag=se&keywords=mobiles&qid=1716895515&sr=8-10
