Description                                                                             ,Price     ,Rating ,Rating Count        ,URL
"Motorola G34 5G (Ocean Green, 128 GB)"                                                 ,"₹11,999" ,   4.2 ,"55,030 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4TZ2CJYHJ.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"Motorola G34 5G (Charcoal Black, 128 GB)"                                              ,"₹11,999" ,   4.2 ,"55,030 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4QPQMAA2S.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"Motorola G34 5G (Ice Blue, 128 GB)"                                                    ,"₹11,999" ,   4.2 ,"55,030 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4P2H9CY7Y.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA G04 (Satin Blue, 64 GB)"                                                      ,"₹6,999"  ,   4.2 ,"8,197 Ratings "    ,https://www.flipkart.com//motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4X5AEBBDE.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Glacier Blue, 128 GB)"                                             ,"₹8,999"  ,   4.2 ,"6,873 Ratings "    ,https://www.flipkart.com//motorola-g24-power-glacier-blue-128-gb/p/itm981de8de27246?pid=MOBGUFK4BDFF37GG&lid=LSTMOBGUFK4BDFF37GGSDO3HT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4BDFF37GG.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"POCO M6 Pro 5G (Forest Green, 128 GB)"                                                 ,"₹9,999"  ,   4.3 ,"84,643 Ratings "   ,https://www.flipkart.com//poco-m6-pro-5g-forest-green-128-gb/p/itm151f47ed48eee?pid=MOBGRNZ3FZBVRYHQ&lid=LSTMOBGRNZ3FZBVRYHQLWWUJH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGRNZ3FZBVRYHQ.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"POCO C65 (Pastel Green, 128 GB)"                                                       ,"₹6,799"  ,   4.2 ,"14,556 Ratings "   ,https://www.flipkart.com//poco-c65-pastel-green-128-gb/p/itm534cf85baf789?pid=MOBGXTV9GCTRG3NV&lid=LSTMOBGXTV9GCTRG3NVGJTTCT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGXTV9GCTRG3NV.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Ink blue, 128 GB)"                                                 ,"₹7,999"  ,   4.2 ,"7,183 Ratings "    ,https://www.flipkart.com//motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4UBP7ZTXJ.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Ink blue, 128 GB)"                                                 ,"₹8,999"  ,   4.2 ,"6,873 Ratings "    ,https://www.flipkart.com//motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4RNVPCG3M.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)"                                            ,"₹11,990" ,   4.2 ,"1,02,030 Ratings " ,https://www.flipkart.com//samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGNBFNDPGNJ7HY.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
