Description                                                                                                                                                                                                           ,Price       ,Rating             ,Review Count              ,URL
"KOORUI 27 Inch FHD Monitor, 100Hz Computer Monitors Full HD(1920 x 1080) Gaming Office Monitor, IPS Display, HDMI,VGA & Audio Port, Tilt Adjustable, VESA Mountable, Zero-Frame Monitor, Black, N02"                 ,$129.99     ,4.3 out of 5 stars ,"5,284"                   ,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyMzQzNjA5NTAxNTYxOTQ5OjE3MTU3MDU1MTQ6c3BfYXRmX25leHQ6MzAwMTY0NDg0MDEyNDAyOjowOjo&url=%2FKOORUI-Adjustable-Mountable-Zero-Frame-N02%2Fdp%2FB0CG8HW54G%2Fref%3Dsr_1_97_sspa%3Fdib%3DeyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1715705514%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"SimpleHouseware Dual Monitor Stand Riser of Adjustable Length and Angle Shelf with Holder and Drawer, Black"                                                                                                         ,$44.87      ,4.6 out of 5 stars ,461                       ,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyMzQzNjA5NTAxNTYxOTQ5OjE3MTU3MDU1MTQ6c3BfYXRmX25leHQ6MzAwMDA5ODMxOTk4NjAyOjowOjo&url=%2FSimple-Houseware-Monitor-Stand-Drawer%2Fdp%2FB0BS9RB6J7%2Fref%3Dsr_1_98_sspa%3Fdib%3DeyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1715705514%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"SANSUI Monitor 24 inch 100HZ FHD Computer Monitor, PC Monitor with HDMI, VGA, VESA, Tiltable, Frameless, Eye Care for Home Office(ES-24F2 HDMI Cable Included)"                                                      ,$99.99      ,4.3 out of 5 stars ,"3,388"                   ,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyMzQzNjA5NTAxNTYxOTQ5OjE3MTU3MDU1MTQ6c3BfYXRmX25leHQ6MzAwMTg4NDQ1NzE0MDAyOjowOjo&url=%2FSANSUI-Speakers-Computor-Frameless-ES-24F1%2Fdp%2FB0B17KHCQN%2Fref%3Dsr_1_99_sspa%3Fdib%3DeyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1715705514%26sr%3D8-99-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"SAMSUNG 27-Inch 4K UHD 60Hz 4ms High Resolution Smart White Computer Monitor with Smart TV Apps, Mobile connectivity, Slimfit Camera Included, Alexa Built-in - (LS27CM801UNXZA) [Canada Version] (2023)"            ,$849.99     ,4.0 out of 5 stars ,339                       ,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyMzQzNjA5NTAxNTYxOTQ5OjE3MTU3MDU1MTQ6c3BfYXRmX25leHQ6MzAwMTc3MjI5NzkyODAyOjowOjo&url=%2FSAMSUNG-Resolution-Computer-connectivity-Included%2Fdp%2FB0C3WMR6FK%2Fref%3Dsr_1_100_sspa%3Fdib%3DeyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI%26dib_tag%3Dse%26keywords%3Dmonitor%26qid%3D1715705514%26sr%3D8-100-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"ASUS TUF Gaming 27 inch 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI"                     ,$394.99     ,4.5 out of 5 stars ,"24,580"                  ,https://www.amazon.ca/Gaming-VG27AQ-G-SYNC-Monitor-155Hz/dp/B07WQ4FXY9/ref=sr_1_101?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-101
"LG 32UP83A 32 Inch UHD (3840 x 2160) 4K Monitor with IPS Display, 5ms Response time, AMD FreeSync, USB Type C, White"                                                                                                ,$501.99     ,4.5 out of 5 stars ,367                       ,https://www.amazon.ca/LG-32UP83A-W-Monitor-FreeSync-Compatibility/dp/B09GHTPWFV/ref=sr_1_102?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-102
ARZOPA Portable Monitor 15.6'' FHD 1080P Kickstand Portable Laptop Monitor IPS Computer External Screen USB C HDMI Display for PC MAC Phone Xbox PS5 - A1                                                             ,$149.99     ,4.4 out of 5 stars ,797                       ,https://www.amazon.ca/ARZOPA-Portable-Kickstand-Computer-External/dp/B0CH9XW8RK/ref=sr_1_103?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-103
"Wstirhy 24 inch PC Monitor, LED Monitor with Full HD (1920 x 1080) 75Hz 5MS 95% sRGB IPS Panel, Zero Frame Monitor Desk Monitor with HDMI & VGA Port, for Laptop Computer, Black"                                    ,$99.90      ,3.6 out of 5 stars ,4                         ,https://www.amazon.ca/Wstirhy-Monitor-Panel-Laptop-Computer/dp/B0BXG46YVQ/ref=sr_1_104?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-104
"GIGABYTE G24F 2-24"" 165Hz/180Hz(OC) 1080P Gaming Monitor, 1920 x 1080 SS IPS Display, 1ms (MPRT) Response Time, 95% DCI-P3, 125% sRGB, 1x DisplayPort 1.2 (HDR Ready), 2X HDMI 2.0, 3X USB 3.2"                     ,$208.98     ,4.6 out of 5 stars ,402                       ,https://www.amazon.ca/GIGABYTE-G24F-Monitor-Response-DisplayPort/dp/B0B5VY6ZFC/ref=sr_1_105?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-105
"LG 28MQ780-B 28 Inch 16:18 SDQHD (2560 x 2880) Nano IPS DualUp Monitor with Ergonomic Monitor Stand, DCI-P3 98% (Typ.) with HDR10, USB Type-C (90W PD), Black"                                                       ,$812.00     ,4.4 out of 5 stars ,337                       ,https://www.amazon.ca/LG-28MQ780-B-28-Inch-Ergonomic/dp/B09XTD5C7H/ref=sr_1_106?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-106
Asus ROG Strix XG49VQ 49 Inch Curved Gaming FreeSync Monitor 144Hz Dual Full HD HDR Eye Care with DP HDMI Black                                                                                                       ,$999.99     ,4.4 out of 5 stars ,932                       ,https://www.amazon.ca/XG49VQ-Curved-Gaming-FreeSync-Monitor/dp/B07PZR2YY4/ref=sr_1_107?dib=eyJ2IjoiMSJ9.xvX1q4HmZiCrZCcAxHmddGi8St4RDz0ekykjRAyDud405GlyztCDwC2x_BP-LfM_iCqAI6zYdp3Qbtx6Wlt2vsqsK1-vsif5K8IVXQR2nYOfTBGMkBlAow1KpqiNjbfOIdU7ic79Kc9a4PfeXu7WAvL6SLfCQtrNSKXKZfyLNMypziixpmwO4TVXKfz8L4RpshiprQuRIHsrNvTsABqoC-7qmUTFH_h7NdruZE9Ztag8Ir4EZafcsnDdQGjLiSdn7dSY68xHcn3YOQB-HyFyYSXxSgNfNb_KlLXTXcx6cvA.VNx-nMNqk7iYL0SgOil0aIdqn_BJt8Su_hGO1veUbNI&dib_tag=se&keywords=monitor&qid=1715705514&sr=8-107
